date,site_id,region,behavior,cement_type,planned_pour_tonnes,consumed_tonnes,opening_inventory_tonnes,deliveries_tonnes,closing_inventory_tonnes,rain_mm,avg_temp_c,silo_capacity,capacity_violation,opening_overflow_tonnes,closing_overflow_tonnes
2022-02-08,SITE_002,South,conservative,CEM_I,9.69,9.69,661.18,15.53,667.02,2.81,21.08,288,True,373.17999999999995,379.02
2022-02-09,SITE_002,South,conservative,CEM_I,12.55,12.55,667.02,39.17,693.64,2.78,11.73,288,True,379.02,405.64
2022-02-10,SITE_002,South,conservative,CEM_I,9.99,9.99,693.64,14.26,697.91,10.39,17.19,288,True,405.64,409.90999999999997
2022-02-11,SITE_002,South,conservative,CEM_III,9.28,9.28,697.91,22.51,711.14,5.83,22.3,288,True,409.90999999999997,423.14
2022-02-12,SITE_002,South,conservative,CEM_III,14.42,14.42,711.14,31.42,728.14,0.52,13.17,288,True,423.14,440.14
2022-02-13,SITE_002,South,conservative,CEM_I,16.09,16.09,728.14,23.35,735.4,7.77,16.95,288,True,440.14,447.4
2022-02-14,SITE_002,South,conservative,CEM_II,19.04,19.04,735.4,42.38,758.74,1.9,11.39,288,True,447.4,470.74
2022-02-15,SITE_002,South,conservative,CEM_II,19.63,19.63,758.74,18.61,757.72,8.05,16.66,288,True,470.74,469.72
2022-02-16,SITE_002,South,conservative,CEM_I,11.08,11.08,757.72,13.56,760.2,8.33,14.18,288,True,469.72,472.20000000000005
2022-02-17,SITE_002,South,conservative,CEM_II,18.56,18.56,760.2,24.67,766.31,3.58,14.14,288,True,472.20000000000005,478.30999999999995
2022-02-18,SITE_002,South,conservative,CEM_I,11.02,11.02,766.31,27.28,782.57,4.83,10.7,288,True,478.30999999999995,494.57000000000005
2022-02-19,SITE_002,South,conservative,CEM_III,0.0,0.0,782.57,23.08,805.65,2.44,6.58,288,True,494.57000000000005,517.65
2022-02-20,SITE_002,South,conservative,CEM_III,6.08,6.08,805.65,48.31,847.88,4.94,19.87,288,True,517.65,559.88
2022-02-21,SITE_002,South,conservative,CEM_I,8.01,8.01,847.88,22.6,862.47,0.4,16.44,288,True,559.88,574.47
2022-02-22,SITE_002,South,conservative,CEM_I,6.24,6.24,862.47,23.61,879.84,1.83,15.46,288,True,574.47,591.84
2022-02-23,SITE_002,South,conservative,CEM_I,12.17,12.17,879.84,29.43,897.1,9.69,14.46,288,True,591.84,609.1
2022-02-24,SITE_002,South,conservative,CEM_II,19.15,19.15,897.1,18.27,896.22,6.09,18.35,288,True,609.1,608.22
2022-02-25,SITE_002,South,conservative,CEM_III,12.65,12.65,896.22,46.03,929.6,2.22,14.14,288,True,608.22,641.6
2022-02-26,SITE_002,South,conservative,CEM_II,6.67,6.67,929.6,42.06,964.99,13.3,17.36,288,True,641.6,676.99
2022-02-27,SITE_002,South,conservative,CEM_I,8.45,8.45,964.99,11.51,968.05,3.77,6.28,288,True,676.99,680.05
2022-02-28,SITE_002,South,conservative,CEM_III,10.66,10.66,968.05,12.79,970.18,5.16,21.85,288,True,680.05,682.18
2022-03-01,SITE_002,South,conservative,CEM_III,14.73,14.73,970.18,40.2,995.65,0.3,15.43,288,True,682.18,707.65
2022-03-02,SITE_002,South,conservative,CEM_II,0.0,0.0,995.65,18.41,1014.06,5.58,13.94,288,True,707.65,726.06
2022-03-03,SITE_002,South,conservative,CEM_III,5.59,5.59,1014.06,35.97,1044.44,4.17,19.04,288,True,726.06,756.44
2022-03-04,SITE_002,South,conservative,CEM_I,12.67,12.67,1044.44,12.14,1043.91,5.99,11.71,288,True,756.44,755.9100000000001
2022-03-05,SITE_002,South,conservative,CEM_I,9.76,9.76,1043.91,29.92,1064.07,2.95,24.27,288,True,755.9100000000001,776.0699999999999
2022-03-06,SITE_002,South,conservative,CEM_I,5.07,5.07,1064.07,21.61,1080.61,1.86,20.39,288,True,776.0699999999999,792.6099999999999
2022-03-07,SITE_002,South,conservative,CEM_II,8.43,8.43,1080.61,10.8,1082.98,10.7,20.24,288,True,792.6099999999999,794.98
2022-03-08,SITE_002,South,conservative,CEM_III,12.02,12.02,1082.98,35.65,1106.61,6.99,5.97,288,True,794.98,818.6099999999999
2022-03-09,SITE_002,South,conservative,CEM_I,15.54,15.54,1106.61,31.25,1122.32,2.67,12.69,288,True,818.6099999999999,834.3199999999999
2022-03-10,SITE_002,South,conservative,CEM_III,11.33,11.33,1122.32,46.11,1157.1,2.55,19.88,288,True,834.3199999999999,869.0999999999999
2022-03-11,SITE_002,South,conservative,CEM_III,12.06,12.06,1157.1,34.07,1179.11,9.5,21.42,288,True,869.0999999999999,891.1099999999999
2022-03-12,SITE_002,South,conservative,CEM_III,7.51,7.51,1179.11,24.14,1195.74,0.31,25.38,288,True,891.1099999999999,907.74
2022-03-13,SITE_002,South,conservative,CEM_III,7.91,7.91,1195.74,47.39,1235.22,0.71,8.17,288,True,907.74,947.22
2022-03-14,SITE_002,South,conservative,CEM_III,5.6,5.6,1235.22,24.76,1254.38,9.01,17.04,288,True,947.22,966.3800000000001
2022-03-15,SITE_002,South,conservative,CEM_I,8.61,8.61,1254.38,13.34,1259.11,9.64,23.72,288,True,966.3800000000001,971.1099999999999
2022-03-16,SITE_002,South,conservative,CEM_III,15.59,15.59,1259.11,19.45,1262.97,13.19,28.56,288,True,971.1099999999999,974.97
2022-03-17,SITE_002,South,conservative,CEM_III,17.47,17.47,1262.97,24.03,1269.53,5.41,23.91,288,True,974.97,981.53
2022-03-18,SITE_002,South,conservative,CEM_III,5.23,5.23,1269.53,34.27,1298.57,2.36,15.93,288,True,981.53,1010.5699999999999
2022-03-19,SITE_002,South,conservative,CEM_III,17.98,17.98,1298.57,13.14,1293.73,6.17,16.39,288,True,1010.5699999999999,1005.73
2022-03-20,SITE_002,South,conservative,CEM_I,9.65,9.65,1293.73,38.02,1322.1,2.2,21.4,288,True,1005.73,1034.1
2022-03-21,SITE_002,South,conservative,CEM_III,5.6,5.6,1322.1,25.34,1341.84,2.57,27.87,288,True,1034.1,1053.84
2022-03-22,SITE_002,South,conservative,CEM_II,13.8,13.8,1341.84,43.44,1371.48,0.83,13.65,288,True,1053.84,1083.48
2022-03-23,SITE_002,South,conservative,CEM_I,17.94,17.94,1371.48,33.63,1387.17,1.54,24.61,288,True,1083.48,1099.17
2022-03-24,SITE_002,South,conservative,CEM_I,16.93,16.93,1387.17,27.9,1398.14,3.52,21.02,288,True,1099.17,1110.14
2022-03-25,SITE_002,South,conservative,CEM_I,18.95,18.95,1398.14,29.62,1408.81,8.84,17.32,288,True,1110.14,1120.81
2022-03-26,SITE_002,South,conservative,CEM_I,11.06,11.06,1408.81,10.61,1408.36,0.64,16.8,288,True,1120.81,1120.36
2022-03-27,SITE_002,South,conservative,CEM_II,14.51,14.51,1408.36,23.51,1417.36,1.67,23.68,288,True,1120.36,1129.36
2022-03-28,SITE_002,South,conservative,CEM_III,10.48,10.48,1417.36,34.93,1441.81,2.46,20.67,288,True,1129.36,1153.81
2022-03-29,SITE_002,South,conservative,CEM_II,17.08,17.08,1441.81,46.85,1471.58,0.39,19.54,288,True,1153.81,1183.58
2022-03-30,SITE_002,South,conservative,CEM_III,11.9,11.9,1471.58,11.32,1471.0,10.37,19.11,288,True,1183.58,1183.0
2022-03-31,SITE_002,South,conservative,CEM_III,14.28,14.28,1471.0,13.43,1470.15,4.46,20.12,288,True,1183.0,1182.15
2022-04-01,SITE_002,South,conservative,CEM_I,5.65,5.65,1470.15,22.8,1487.3,0.48,21.12,288,True,1182.15,1199.3
2022-04-02,SITE_002,South,conservative,CEM_III,8.55,8.55,1487.3,10.37,1489.12,9.11,22.51,288,True,1199.3,1201.12
2022-04-03,SITE_002,South,conservative,CEM_III,0.0,0.0,1489.12,19.79,1508.91,1.12,20.57,288,True,1201.12,1220.91
2022-04-04,SITE_002,South,conservative,CEM_III,15.86,15.86,1508.91,14.2,1507.25,10.66,22.29,288,True,1220.91,1219.25
2022-04-05,SITE_002,South,conservative,CEM_III,5.99,5.99,1507.25,32.88,1534.14,5.83,22.15,288,True,1219.25,1246.14
2022-04-06,SITE_002,South,conservative,CEM_I,12.38,12.38,1534.14,33.36,1555.12,11.9,17.41,288,True,1246.14,1267.12
2022-04-07,SITE_002,South,conservative,CEM_II,9.24,9.24,1555.12,36.85,1582.73,0.43,13.5,288,True,1267.12,1294.73
2022-04-08,SITE_002,South,conservative,CEM_II,16.08,16.08,1582.73,35.05,1601.7,0.88,19.53,288,True,1294.73,1313.7
2022-04-09,SITE_002,South,conservative,CEM_II,19.0,19.0,1601.7,40.15,1622.85,5.53,21.69,288,True,1313.7,1334.85
2022-04-10,SITE_002,South,conservative,CEM_I,6.16,6.16,1622.85,36.23,1652.92,1.24,17.56,288,True,1334.85,1364.92
2022-04-11,SITE_002,South,conservative,CEM_III,17.34,17.34,1652.92,28.47,1664.05,1.37,24.03,288,True,1364.92,1376.05
2022-04-12,SITE_002,South,conservative,CEM_I,16.06,16.06,1664.05,44.58,1692.57,1.89,17.02,288,True,1376.05,1404.57
2022-04-13,SITE_002,South,conservative,CEM_I,17.9,14.32,1692.57,20.5,1698.75,3.46,30.07,288,True,1404.57,1410.75
2022-04-14,SITE_002,South,conservative,CEM_I,17.27,17.27,1698.75,42.31,1723.79,1.38,14.12,288,True,1410.75,1435.79
2022-04-15,SITE_002,South,conservative,CEM_II,9.87,9.87,1723.79,15.39,1729.31,2.2,16.8,288,True,1435.79,1441.31
2022-04-16,SITE_002,South,conservative,CEM_II,12.17,9.74,1729.31,17.03,1736.6,1.89,30.01,288,True,1441.31,1448.6
2022-04-17,SITE_002,South,conservative,CEM_III,12.3,12.3,1736.6,17.06,1741.36,0.78,21.34,288,True,1448.6,1453.36
2022-04-18,SITE_002,South,conservative,CEM_III,8.95,8.95,1741.36,28.62,1761.03,8.38,18.65,288,True,1453.36,1473.03
2022-04-19,SITE_002,South,conservative,CEM_III,12.78,12.78,1761.03,47.36,1795.61,1.54,23.52,288,True,1473.03,1507.61
2022-04-20,SITE_002,South,conservative,CEM_III,11.58,11.58,1795.61,26.81,1810.84,1.01,26.31,288,True,1507.61,1522.84
2022-04-21,SITE_002,South,conservative,CEM_I,15.72,15.72,1810.84,46.49,1841.61,14.37,18.13,288,True,1522.84,1553.61
2022-04-22,SITE_002,South,conservative,CEM_II,11.58,11.58,1841.61,48.72,1878.75,14.6,20.39,288,True,1553.61,1590.75
2022-04-23,SITE_002,South,conservative,CEM_I,19.21,19.21,1878.75,10.37,1869.91,1.47,20.1,288,True,1590.75,1581.91
2022-04-24,SITE_002,South,conservative,CEM_II,13.16,13.16,1869.91,28.94,1885.69,2.92,24.96,288,True,1581.91,1597.69
2022-04-25,SITE_002,South,conservative,CEM_III,19.52,19.52,1885.69,10.9,1877.07,4.75,21.11,288,True,1597.69,1589.07
2022-04-26,SITE_002,South,conservative,CEM_III,17.38,17.38,1877.07,29.2,1888.89,4.58,23.43,288,True,1589.07,1600.89
2022-04-27,SITE_002,South,conservative,CEM_I,18.72,18.72,1888.89,46.16,1916.33,3.83,16.58,288,True,1600.89,1628.33
2022-04-28,SITE_002,South,conservative,CEM_II,8.81,8.81,1916.33,49.32,1956.84,1.93,14.32,288,True,1628.33,1668.84
2022-04-29,SITE_002,South,conservative,CEM_I,0.0,0.0,1956.84,42.24,1999.08,12.95,15.66,288,True,1668.84,1711.08
2022-04-30,SITE_002,South,conservative,CEM_III,5.73,5.73,1999.08,27.83,2021.18,0.41,24.29,288,True,1711.08,1733.18
2022-05-01,SITE_002,South,conservative,CEM_I,6.42,6.42,2021.18,34.24,2049.0,11.3,19.85,288,True,1733.18,1761.0
2022-05-02,SITE_002,South,conservative,CEM_II,6.57,6.57,2049.0,31.1,2073.53,4.22,15.91,288,True,1761.0,1785.5300000000002
2022-05-03,SITE_002,South,conservative,CEM_I,19.43,19.43,2073.53,12.57,2066.67,8.71,19.01,288,True,1785.5300000000002,1778.67
2022-05-04,SITE_002,South,conservative,CEM_II,19.67,19.67,2066.67,29.5,2076.5,5.15,21.66,288,True,1778.67,1788.5
2022-05-05,SITE_002,South,conservative,CEM_II,9.12,9.12,2076.5,11.62,2079.0,2.26,13.94,288,True,1788.5,1791.0
2022-05-06,SITE_002,South,conservative,CEM_III,15.71,15.71,2079.0,26.1,2089.39,12.25,20.06,288,True,1791.0,1801.3899999999999
2022-05-07,SITE_002,South,conservative,CEM_III,10.44,10.44,2089.39,49.57,2128.52,0.82,25.78,288,True,1801.3899999999999,1840.52
2022-05-08,SITE_002,South,conservative,CEM_II,6.8,6.8,2128.52,44.71,2166.43,0.2,16.55,288,True,1840.52,1878.4299999999998
2022-05-09,SITE_002,South,conservative,CEM_III,6.02,6.02,2166.43,18.58,2178.99,1.32,10.61,288,True,1878.4299999999998,1890.9899999999998
2022-05-10,SITE_002,South,conservative,CEM_III,6.47,6.47,2178.99,32.15,2204.67,6.7,26.21,288,True,1890.9899999999998,1916.67
2022-05-11,SITE_002,South,conservative,CEM_III,12.34,12.34,2204.67,20.71,2213.04,1.04,24.3,288,True,1916.67,1925.04
2022-05-12,SITE_002,South,conservative,CEM_II,15.13,15.13,2213.04,32.27,2230.18,3.03,17.93,288,True,1925.04,1942.1799999999998
2022-05-13,SITE_002,South,conservative,CEM_II,7.96,7.96,2230.18,38.18,2260.4,5.19,12.83,288,True,1942.1799999999998,1972.4
2022-05-14,SITE_002,South,conservative,CEM_III,17.74,17.74,2260.4,24.93,2267.59,3.02,20.18,288,True,1972.4,1979.5900000000001
2022-05-15,SITE_002,South,conservative,CEM_III,15.11,15.11,2267.59,13.98,2266.46,3.4,10.96,288,True,1979.5900000000001,1978.46
2022-05-16,SITE_002,South,conservative,CEM_I,8.95,8.95,2266.46,24.51,2282.02,4.63,18.94,288,True,1978.46,1994.02
2022-05-17,SITE_002,South,conservative,CEM_II,7.62,7.62,2282.02,32.45,2306.85,1.44,22.91,288,True,1994.02,2018.85
2022-05-18,SITE_002,South,conservative,CEM_III,9.24,9.24,2306.85,10.97,2308.58,5.81,22.77,288,True,2018.85,2020.58
2022-05-19,SITE_002,South,conservative,CEM_II,13.84,13.84,2308.58,39.56,2334.3,2.14,14.93,288,True,2020.58,2046.3000000000002
2022-05-20,SITE_002,South,conservative,CEM_I,18.43,18.43,2334.3,20.0,2335.87,8.37,17.87,288,True,2046.3000000000002,2047.87
2022-05-21,SITE_002,South,conservative,CEM_II,12.57,12.57,2335.87,30.53,2353.83,0.34,20.04,288,True,2047.87,2065.83
2022-05-22,SITE_002,South,conservative,CEM_III,6.07,6.07,2353.83,27.35,2375.11,3.42,25.41,288,True,2065.83,2087.11
2022-05-23,SITE_002,South,conservative,CEM_II,17.96,17.96,2375.11,17.72,2374.87,2.2,6.77,288,True,2087.11,2086.87
2022-05-24,SITE_002,South,conservative,CEM_III,15.35,15.35,2374.87,26.63,2386.15,0.62,17.09,288,True,2086.87,2098.15
2022-05-25,SITE_002,South,conservative,CEM_III,5.83,5.83,2386.15,38.12,2418.44,3.17,12.21,288,True,2098.15,2130.44
2022-05-26,SITE_002,South,conservative,CEM_I,11.47,11.47,2418.44,43.72,2450.69,1.22,14.71,288,True,2130.44,2162.69
2022-05-27,SITE_002,South,conservative,CEM_II,14.67,14.67,2450.69,38.32,2474.34,3.67,14.53,288,True,2162.69,2186.34
2022-05-28,SITE_002,South,conservative,CEM_III,7.52,7.52,2474.34,17.8,2484.62,4.08,23.24,288,True,2186.34,2196.62
2022-05-29,SITE_002,South,conservative,CEM_III,18.07,18.07,2484.62,34.31,2500.86,11.16,25.39,288,True,2196.62,2212.86
2022-05-30,SITE_002,South,conservative,CEM_I,9.81,9.81,2500.86,43.82,2534.87,2.59,13.16,288,True,2212.86,2246.87
2022-05-31,SITE_002,South,conservative,CEM_III,17.5,17.5,2534.87,21.66,2539.03,4.72,20.66,288,True,2246.87,2251.03
2022-06-01,SITE_002,South,conservative,CEM_III,18.06,18.06,2539.03,25.93,2546.9,2.05,15.99,288,True,2251.03,2258.9
2022-06-02,SITE_002,South,conservative,CEM_II,5.81,5.81,2546.9,13.24,2554.33,3.44,14.25,288,True,2258.9,2266.33
2022-06-03,SITE_002,South,conservative,CEM_I,15.18,15.18,2554.33,48.46,2587.61,6.3,20.16,288,True,2266.33,2299.61
2022-06-04,SITE_002,South,conservative,CEM_II,15.4,15.4,2587.61,20.87,2593.08,4.57,14.12,288,True,2299.61,2305.08
2022-06-05,SITE_002,South,conservative,CEM_I,6.09,6.09,2593.08,18.51,2605.5,1.2,15.03,288,True,2305.08,2317.5
2022-06-06,SITE_002,South,conservative,CEM_I,9.14,9.14,2605.5,19.01,2615.37,5.52,20.67,288,True,2317.5,2327.37
2022-06-07,SITE_002,South,conservative,CEM_III,9.9,9.9,2615.37,47.22,2652.69,5.72,15.06,288,True,2327.37,2364.69
2022-06-08,SITE_002,South,conservative,CEM_II,10.07,10.07,2652.69,39.93,2682.55,9.07,15.36,288,True,2364.69,2394.55
2022-06-09,SITE_002,South,conservative,CEM_III,15.82,15.82,2682.55,48.36,2715.09,7.66,9.45,288,True,2394.55,2427.09
2022-06-10,SITE_002,South,conservative,CEM_II,13.21,13.21,2715.09,20.38,2722.26,13.37,17.2,288,True,2427.09,2434.26
2022-06-11,SITE_002,South,conservative,CEM_III,17.54,17.54,2722.26,28.25,2732.97,0.44,18.05,288,True,2434.26,2444.97
2022-06-12,SITE_002,South,conservative,CEM_I,7.88,7.88,2732.97,33.64,2758.73,3.39,15.37,288,True,2444.97,2470.73
2022-06-13,SITE_002,South,conservative,CEM_II,19.42,19.42,2758.73,19.54,2758.85,22.65,15.19,288,True,2470.73,2470.85
2022-06-14,SITE_002,South,conservative,CEM_II,11.13,11.13,2758.85,28.59,2776.31,14.22,8.77,288,True,2470.85,2488.31
2022-06-15,SITE_002,South,conservative,CEM_I,15.13,15.13,2776.31,19.32,2780.5,4.98,14.11,288,True,2488.31,2492.5
2022-06-16,SITE_002,South,conservative,CEM_III,12.5,12.5,2780.5,46.79,2814.79,4.26,5.57,288,True,2492.5,2526.79
2022-06-17,SITE_002,South,conservative,CEM_II,16.0,16.0,2814.79,48.06,2846.85,0.28,18.93,288,True,2526.79,2558.85
2022-06-18,SITE_002,South,conservative,CEM_II,8.36,8.36,2846.85,29.52,2868.01,4.87,7.3,288,True,2558.85,2580.01
2022-06-19,SITE_002,South,conservative,CEM_I,15.08,15.08,2868.01,10.05,2862.98,4.98,17.6,288,True,2580.01,2574.98
2022-06-20,SITE_002,South,conservative,CEM_II,17.37,17.37,2862.98,27.77,2873.38,0.64,22.09,288,True,2574.98,2585.38
2022-06-21,SITE_002,South,conservative,CEM_I,15.87,15.87,2873.38,14.7,2872.21,14.41,13.93,288,True,2585.38,2584.21
2022-06-22,SITE_002,South,conservative,CEM_I,9.69,9.69,2872.21,43.63,2906.15,23.14,6.81,288,True,2584.21,2618.15
2022-06-23,SITE_002,South,conservative,CEM_III,14.37,14.37,2906.15,18.45,2910.23,9.41,14.22,288,True,2618.15,2622.23
2022-06-24,SITE_002,South,conservative,CEM_I,9.81,9.81,2910.23,48.85,2949.27,1.88,4.28,288,True,2622.23,2661.27
2022-06-25,SITE_002,South,conservative,CEM_I,6.38,6.38,2949.27,23.89,2966.78,2.88,8.39,288,True,2661.27,2678.78
2022-06-26,SITE_002,South,conservative,CEM_II,18.52,18.52,2966.78,29.54,2977.8,5.71,6.1,288,True,2678.78,2689.8
2022-06-27,SITE_002,South,conservative,CEM_II,18.3,18.3,2977.8,45.31,3004.81,4.62,9.15,288,True,2689.8,2716.81
2022-06-28,SITE_002,South,conservative,CEM_I,9.99,9.99,3004.81,20.51,3015.33,12.76,15.5,288,True,2716.81,2727.33
2022-06-29,SITE_002,South,conservative,CEM_I,12.72,12.72,3015.33,22.78,3025.39,0.9,11.29,288,True,2727.33,2737.39
2022-06-30,SITE_002,South,conservative,CEM_I,15.04,15.04,3025.39,35.69,3046.04,4.48,14.53,288,True,2737.39,2758.04
2022-07-01,SITE_002,South,conservative,CEM_III,16.67,16.67,3046.04,24.3,3053.67,0.2,14.34,288,True,2758.04,2765.67
2022-07-02,SITE_002,South,conservative,CEM_I,10.14,10.14,3053.67,32.45,3075.98,1.62,16.97,288,True,2765.67,2787.98
2022-07-03,SITE_002,South,conservative,CEM_III,19.79,19.79,3075.98,47.37,3103.56,10.72,15.01,288,True,2787.98,2815.56
2022-07-04,SITE_002,South,conservative,CEM_III,7.59,7.59,3103.56,32.22,3128.19,3.7,4.63,288,True,2815.56,2840.19
2022-07-05,SITE_002,South,conservative,CEM_II,16.52,16.52,3128.19,22.47,3134.14,6.73,5.0,288,True,2840.19,2846.14
2022-07-06,SITE_002,South,conservative,CEM_III,19.04,19.04,3134.14,26.58,3141.68,1.83,7.69,288,True,2846.14,2853.68
2022-07-07,SITE_002,South,conservative,CEM_I,9.16,9.16,3141.68,40.03,3172.55,5.85,11.9,288,True,2853.68,2884.55
2022-07-08,SITE_002,South,conservative,CEM_III,13.31,13.31,3172.55,31.5,3190.74,5.17,6.83,288,True,2884.55,2902.74
2022-07-09,SITE_002,South,conservative,CEM_I,9.9,9.9,3190.74,21.18,3202.02,9.19,8.17,288,True,2902.74,2914.02
2022-07-10,SITE_002,South,conservative,CEM_I,19.78,19.78,3202.02,47.23,3229.47,4.36,4.75,288,True,2914.02,2941.47
2022-07-11,SITE_002,South,conservative,CEM_II,13.51,13.51,3229.47,12.19,3228.15,0.03,10.71,288,True,2941.47,2940.15
2022-07-12,SITE_002,South,conservative,CEM_II,0.0,0.0,3228.15,42.41,3270.56,2.74,6.73,288,True,2940.15,2982.56
2022-07-13,SITE_002,South,conservative,CEM_II,13.46,13.46,3270.56,39.08,3296.18,0.46,17.35,288,True,2982.56,3008.18
2022-07-14,SITE_002,South,conservative,CEM_II,17.09,17.09,3296.18,25.1,3304.19,4.34,10.44,288,True,3008.18,3016.19
2022-07-15,SITE_002,South,conservative,CEM_I,9.54,9.54,3304.19,16.33,3310.98,2.94,3.2,288,True,3016.19,3022.98
2022-07-16,SITE_002,South,conservative,CEM_I,13.48,13.48,3310.98,48.46,3345.96,5.83,6.66,288,True,3022.98,3057.96
2022-07-17,SITE_002,South,conservative,CEM_II,7.95,7.95,3345.96,13.51,3351.52,4.61,2.37,288,True,3057.96,3063.52
2022-07-18,SITE_002,South,conservative,CEM_I,12.92,12.92,3351.52,43.62,3382.22,2.48,12.11,288,True,3063.52,3094.22
2022-07-19,SITE_002,South,conservative,CEM_III,12.56,12.56,3382.22,19.96,3389.62,5.22,13.56,288,True,3094.22,3101.62
2022-07-20,SITE_002,South,conservative,CEM_III,11.56,11.56,3389.62,35.3,3413.36,1.96,12.48,288,True,3101.62,3125.36
2022-07-21,SITE_002,South,conservative,CEM_III,19.17,19.17,3413.36,23.68,3417.87,1.7,4.01,288,True,3125.36,3129.87
2022-07-22,SITE_002,South,conservative,CEM_III,8.95,8.95,3417.87,34.14,3443.06,12.9,7.02,288,True,3129.87,3155.06
2022-07-23,SITE_002,South,conservative,CEM_I,5.01,5.01,3443.06,16.58,3454.63,13.59,4.68,288,True,3155.06,3166.63
2022-07-24,SITE_002,South,conservative,CEM_I,19.86,19.86,3454.63,30.26,3465.03,1.33,2.8,288,True,3166.63,3177.03
2022-07-25,SITE_002,South,conservative,CEM_II,8.35,8.35,3465.03,14.14,3470.82,9.3,4.5,288,True,3177.03,3182.82
2022-07-26,SITE_002,South,conservative,CEM_II,19.11,19.11,3470.82,32.67,3484.38,2.82,6.53,288,True,3182.82,3196.38
2022-07-27,SITE_002,South,conservative,CEM_I,13.11,10.49,3484.38,32.27,3506.16,2.19,-1.92,288,True,3196.38,3218.16
2022-07-28,SITE_002,South,conservative,CEM_II,0.0,0.0,3506.16,31.13,3537.29,9.65,-4.41,288,True,3218.16,3249.29
2022-07-29,SITE_002,South,conservative,CEM_III,14.09,11.27,3537.29,25.32,3551.34,5.42,-0.37,288,True,3249.29,3263.34
2022-07-30,SITE_002,South,conservative,CEM_III,6.98,5.58,3551.34,43.7,3589.46,10.17,-3.2,288,True,3263.34,3301.46
